filters,kernel,reg_type,l1_value,l2_value,mapes_train,mapes_test
64,7,l1_l2,0.1,0.1,"{'Prévision globale': {'avg_mape': 12.455234444021626, 'max_mape': 659.2782253689236}}","{'Prévision globale': {'avg_mape': 12.474919223138684, 'max_mape': 25.057625555917127}, 'Prévision journalière': {'avg_mape': 12.162682939465338, 'max_mape': 33.476560046530864}, 'Prévision hebdomadaire': {'avg_mape': 54.979931504323986, 'max_mape': 100.0}}"
64,7,l1_l2,0.1,0.01,"{'Prévision globale': {'avg_mape': 13.774619443035087, 'max_mape': 1693.8427734375}}","{'Prévision globale': {'avg_mape': 8.774420280941495, 'max_mape': 17.55859869336877}, 'Prévision journalière': {'avg_mape': 12.229931209334477, 'max_mape': 37.31181891696676}, 'Prévision hebdomadaire': {'avg_mape': 57.56178380862349, 'max_mape': 100.0}}"
64,7,l1_l2,0.1,0.001,"{'Prévision globale': {'avg_mape': 10.288748924609816, 'max_mape': 568.1836615668403}}","{'Prévision globale': {'avg_mape': 10.364745084632386, 'max_mape': 19.847943389105833}, 'Prévision journalière': {'avg_mape': 12.030636399609623, 'max_mape': 36.85485053064048}, 'Prévision hebdomadaire': {'avg_mape': 57.36162208850135, 'max_mape': 100.0}}"
64,7,l1_l2,0.1,0.0001,"{'Prévision globale': {'avg_mape': 12.67865669939203, 'max_mape': 1014.3886990017361}}","{'Prévision globale': {'avg_mape': 8.248775217361436, 'max_mape': 13.73417557038001}, 'Prévision journalière': {'avg_mape': 9.458295154016298, 'max_mape': 26.953555779278304}, 'Prévision hebdomadaire': {'avg_mape': 55.72710920399868, 'max_mape': 100.0}}"
64,7,l1_l2,0.01,0.0,"{'Prévision globale': {'avg_mape': 6.6363057904212335, 'max_mape': 1330.2684190538193}}","{'Prévision globale': {'avg_mape': 7.750051827375268, 'max_mape': 26.650258850652687}, 'Prévision journalière': {'avg_mape': 15.2647504159219, 'max_mape': 33.75230547048998}, 'Prévision hebdomadaire': {'avg_mape': 58.998228624921, 'max_mape': 100.0}}"
64,7,l1_l2,0.01,0.1,"{'Prévision globale': {'avg_mape': 6.73171383457969, 'max_mape': 960.1566569010417}}","{'Prévision globale': {'avg_mape': 6.20601639877744, 'max_mape': 12.408284947088898}, 'Prévision journalière': {'avg_mape': 12.696697636086068, 'max_mape': 38.31778294146926}, 'Prévision hebdomadaire': {'avg_mape': 55.448642707869396, 'max_mape': 100.0}}"
64,7,l1_l2,0.01,0.01,"{'Prévision globale': {'avg_mape': 5.976427517274635, 'max_mape': 671.675550672743}}","{'Prévision globale': {'avg_mape': 7.73873008709509, 'max_mape': 20.407398556423328}, 'Prévision journalière': {'avg_mape': 12.869178518954211, 'max_mape': 32.346759370570965}, 'Prévision hebdomadaire': {'avg_mape': 58.64956619995272, 'max_mape': 100.0}}"
64,7,l1_l2,0.01,0.001,"{'Prévision globale': {'avg_mape': 7.697023604236846, 'max_mape': 1183.516845703125}}","{'Prévision globale': {'avg_mape': 5.8565891030280275, 'max_mape': 16.50268160796788}, 'Prévision journalière': {'avg_mape': 13.85064009365144, 'max_mape': 23.143720578558412}, 'Prévision hebdomadaire': {'avg_mape': 57.01969219678442, 'max_mape': 100.0}}"
64,7,l1_l2,0.01,0.0001,"{'Prévision globale': {'avg_mape': 6.002859648798528, 'max_mape': 241.48515779626422}}","{'Prévision globale': {'avg_mape': 6.25755098129254, 'max_mape': 14.622814878027029}, 'Prévision journalière': {'avg_mape': 14.789861780346893, 'max_mape': 34.77377785018897}, 'Prévision hebdomadaire': {'avg_mape': 59.156415182797126, 'max_mape': 100.0}}"
64,7,l1_l2,0.001,0.0,"{'Prévision globale': {'avg_mape': 7.869333667231294, 'max_mape': 365.33315022786456}}","{'Prévision globale': {'avg_mape': 12.911576965893712, 'max_mape': 24.666818890796417}, 'Prévision journalière': {'avg_mape': 15.654303631232205, 'max_mape': 26.381687314402374}, 'Prévision hebdomadaire': {'avg_mape': 58.13592765508122, 'max_mape': 100.0}}"
64,7,l1_l2,0.001,0.1,"{'Prévision globale': {'avg_mape': 8.768300661633024, 'max_mape': 848.836719505561}}","{'Prévision globale': {'avg_mape': 10.75913082724888, 'max_mape': 21.342327315028054}, 'Prévision journalière': {'avg_mape': 15.271370152750231, 'max_mape': 35.484380799925766}, 'Prévision hebdomadaire': {'avg_mape': 57.304147229278065, 'max_mape': 100.0}}"
64,7,l1_l2,0.001,0.01,"{'Prévision globale': {'avg_mape': 8.867524087646245, 'max_mape': 1788.7415907118054}}","{'Prévision globale': {'avg_mape': 7.5726581885852555, 'max_mape': 19.27265435265053}, 'Prévision journalière': {'avg_mape': 11.22808681589764, 'max_mape': 33.19916391433826}, 'Prévision hebdomadaire': {'avg_mape': 55.218532293933, 'max_mape': 100.0}}"
64,7,l1_l2,0.001,0.001,"{'Prévision globale': {'avg_mape': 4.339131032424021, 'max_mape': 202.24055820041232}}","{'Prévision globale': {'avg_mape': 8.263411302172667, 'max_mape': 17.32821208565562}, 'Prévision journalière': {'avg_mape': 16.396916286006665, 'max_mape': 32.70734492305834}, 'Prévision hebdomadaire': {'avg_mape': 56.848912533043816, 'max_mape': 100.0}}"
64,7,l1_l2,0.001,0.0001,"{'Prévision globale': {'avg_mape': 4.762375409392502, 'max_mape': 287.168346669486}}","{'Prévision globale': {'avg_mape': 10.62429753668447, 'max_mape': 31.280795092035792}, 'Prévision journalière': {'avg_mape': 12.317184944258234, 'max_mape': 30.589502375076833}, 'Prévision hebdomadaire': {'avg_mape': 57.71030900294626, 'max_mape': 100.0}}"
64,7,l1_l2,0.0001,0.0,"{'Prévision globale': {'avg_mape': 9.480041249967146, 'max_mape': 1626.9124348958333}}","{'Prévision globale': {'avg_mape': 11.867863709672699, 'max_mape': 20.54877713405691}, 'Prévision journalière': {'avg_mape': 9.827828636437708, 'max_mape': 28.9011355200108}, 'Prévision hebdomadaire': {'avg_mape': 56.053413336064935, 'max_mape': 100.0}}"
64,7,l1_l2,0.0001,0.1,"{'Prévision globale': {'avg_mape': 6.231919329407563, 'max_mape': 1144.818115234375}}","{'Prévision globale': {'avg_mape': 10.306072156268685, 'max_mape': 23.486218187118045}, 'Prévision journalière': {'avg_mape': 12.882943270606336, 'max_mape': 29.183156910137004}, 'Prévision hebdomadaire': {'avg_mape': 56.614474928155495, 'max_mape': 100.0}}"
64,7,l1_l2,0.0001,0.01,"{'Prévision globale': {'avg_mape': 4.620391830498808, 'max_mape': 1022.5032552083333}}","{'Prévision globale': {'avg_mape': 8.035651980674535, 'max_mape': 27.143080586315637}, 'Prévision journalière': {'avg_mape': 13.529954842856645, 'max_mape': 30.16774909515317}, 'Prévision hebdomadaire': {'avg_mape': 59.036821199520304, 'max_mape': 100.0}}"
64,7,l1_l2,0.0001,0.001,"{'Prévision globale': {'avg_mape': 6.656941172885322, 'max_mape': 1328.6751302083333}}","{'Prévision globale': {'avg_mape': 11.700632283066472, 'max_mape': 25.69008220427545}, 'Prévision journalière': {'avg_mape': 13.190832124261183, 'max_mape': 30.378851150705273}, 'Prévision hebdomadaire': {'avg_mape': 58.493194529250445, 'max_mape': 100.0}}"
64,7,l1_l2,0.0001,0.0001,"{'Prévision globale': {'avg_mape': 5.670430372947943, 'max_mape': 978.064710828993}}","{'Prévision globale': {'avg_mape': 9.021960468186494, 'max_mape': 23.101243876141027}, 'Prévision journalière': {'avg_mape': 11.440502221298892, 'max_mape': 42.54393839213403}, 'Prévision hebdomadaire': {'avg_mape': 57.136835679653565, 'max_mape': 100.0}}"
64,14,l1,0.0,,"{'Prévision globale': {'avg_mape': 5.9461731307520385, 'max_mape': 468.3084784613715}}","{'Prévision globale': {'avg_mape': 10.95920777600514, 'max_mape': 28.751540067831584}, 'Prévision journalière': {'avg_mape': 9.537346232820695, 'max_mape': 33.41291095110346}, 'Prévision hebdomadaire': {'avg_mape': 56.89644246256593, 'max_mape': 100.0}}"
64,14,l1,0.1,,"{'Prévision globale': {'avg_mape': 17.049025711379347, 'max_mape': 828.3313666449652}}","{'Prévision globale': {'avg_mape': 14.981448967729744, 'max_mape': 25.348613427432475}, 'Prévision journalière': {'avg_mape': 14.872372448442139, 'max_mape': 44.59006374439955}, 'Prévision hebdomadaire': {'avg_mape': 56.16614890370613, 'max_mape': 100.0}}"
64,14,l1,0.01,,"{'Prévision globale': {'avg_mape': 6.237270710801204, 'max_mape': 1185.7206895616318}}","{'Prévision globale': {'avg_mape': 15.199359076840087, 'max_mape': 32.29879263147978}, 'Prévision journalière': {'avg_mape': 15.05093155029096, 'max_mape': 31.726913509651624}, 'Prévision hebdomadaire': {'avg_mape': 56.222224317466654, 'max_mape': 100.0}}"
64,14,l1,0.001,,"{'Prévision globale': {'avg_mape': 6.9130000811747845, 'max_mape': 1438.4993489583333}}","{'Prévision globale': {'avg_mape': 7.896503036854047, 'max_mape': 18.224910614325854}, 'Prévision journalière': {'avg_mape': 13.906241713704167, 'max_mape': 27.314595041050183}, 'Prévision hebdomadaire': {'avg_mape': 57.72664353343261, 'max_mape': 100.0}}"
64,14,l1,0.0001,,"{'Prévision globale': {'avg_mape': 6.855568828511762, 'max_mape': 2328.2175021701387}}","{'Prévision globale': {'avg_mape': 8.021201138701654, 'max_mape': 18.582204636255874}, 'Prévision journalière': {'avg_mape': 10.058984202795592, 'max_mape': 22.606581544847135}, 'Prévision hebdomadaire': {'avg_mape': 55.628746216917875, 'max_mape': 100.0}}"
64,14,l1,0.0,,"{'Prévision globale': {'avg_mape': 4.786144051387144, 'max_mape': 743.5608588324653}}","{'Prévision globale': {'avg_mape': 9.566789273626297, 'max_mape': 30.009264299472406}, 'Prévision journalière': {'avg_mape': 10.873089447085556, 'max_mape': 33.61335770356685}, 'Prévision hebdomadaire': {'avg_mape': 57.3208644102577, 'max_mape': 100.0}}"
64,14,l1,0.1,,"{'Prévision globale': {'avg_mape': 11.29866960069476, 'max_mape': 617.7953423394097}}","{'Prévision globale': {'avg_mape': 10.587316861232603, 'max_mape': 26.91753880010537}, 'Prévision journalière': {'avg_mape': 12.367817535282484, 'max_mape': 36.89216119881082}, 'Prévision hebdomadaire': {'avg_mape': 54.60215985847285, 'max_mape': 100.0}}"
64,14,l1,0.01,,"{'Prévision globale': {'avg_mape': 7.915856551790617, 'max_mape': 840.5050320095486}}","{'Prévision globale': {'avg_mape': 7.38618276084469, 'max_mape': 20.673927166110552}, 'Prévision journalière': {'avg_mape': 10.887387185410805, 'max_mape': 24.2299544020382}, 'Prévision hebdomadaire': {'avg_mape': 56.84667547913513, 'max_mape': 100.0}}"
64,14,l1,0.001,,"{'Prévision globale': {'avg_mape': 7.040986258493324, 'max_mape': 1939.8917643229165}}","{'Prévision globale': {'avg_mape': 8.21227813271924, 'max_mape': 18.540387722639917}, 'Prévision journalière': {'avg_mape': 16.388380457244708, 'max_mape': 31.95919910406965}, 'Prévision hebdomadaire': {'avg_mape': 60.8484469061634, 'max_mape': 100.0}}"
64,14,l1,0.0001,,"{'Prévision globale': {'avg_mape': 4.574751218612046, 'max_mape': 903.1268988715277}}","{'Prévision globale': {'avg_mape': 8.867086964785416, 'max_mape': 32.01795019372612}, 'Prévision journalière': {'avg_mape': 13.418326758972645, 'max_mape': 26.005385368583017}, 'Prévision hebdomadaire': {'avg_mape': 57.330226693101636, 'max_mape': 100.0}}"
64,14,l2,,0.0,"{'Prévision globale': {'avg_mape': 4.157529337267454, 'max_mape': 547.2503323025173}}","{'Prévision globale': {'avg_mape': 11.285674584293861, 'max_mape': 28.027202401294627}, 'Prévision journalière': {'avg_mape': 15.027429203090804, 'max_mape': 30.415741876049097}, 'Prévision hebdomadaire': {'avg_mape': 60.694261610510026, 'max_mape': 100.0}}"
64,14,l2,,0.1,"{'Prévision globale': {'avg_mape': 5.834810334058374, 'max_mape': 562.4770100911459}}","{'Prévision globale': {'avg_mape': 13.298234483336605, 'max_mape': 27.690856936273434}, 'Prévision journalière': {'avg_mape': 11.085843454943609, 'max_mape': 20.49568418421824}, 'Prévision hebdomadaire': {'avg_mape': 55.138695696699756, 'max_mape': 100.0}}"
64,14,l2,,0.01,"{'Prévision globale': {'avg_mape': 9.75701494281476, 'max_mape': 1706.7164442274304}}","{'Prévision globale': {'avg_mape': 9.03786050421633, 'max_mape': 29.04389779698099}, 'Prévision journalière': {'avg_mape': 14.399186259859643, 'max_mape': 37.87789811744955}, 'Prévision hebdomadaire': {'avg_mape': 57.65339219975864, 'max_mape': 100.0}}"
64,14,l2,,0.001,"{'Prévision globale': {'avg_mape': 4.169694888644577, 'max_mape': 397.23927481262086}}","{'Prévision globale': {'avg_mape': 11.856739662347815, 'max_mape': 24.393551497990117}, 'Prévision journalière': {'avg_mape': 11.717878949930045, 'max_mape': 28.280490736991293}, 'Prévision hebdomadaire': {'avg_mape': 59.473142346368846, 'max_mape': 100.0}}"
64,14,l2,,0.0001,"{'Prévision globale': {'avg_mape': 6.106057447572078, 'max_mape': 1851.4453125}}","{'Prévision globale': {'avg_mape': 11.002713747374935, 'max_mape': 23.077469760175028}, 'Prévision journalière': {'avg_mape': 13.847477391248535, 'max_mape': 24.422764137216312}, 'Prévision hebdomadaire': {'avg_mape': 60.39479797093087, 'max_mape': 100.0}}"
64,14,l1_l2,0.0,0.0,"{'Prévision globale': {'avg_mape': 4.793027631188872, 'max_mape': 505.2968343098958}}","{'Prévision globale': {'avg_mape': 13.966213500264828, 'max_mape': 25.151689818691903}, 'Prévision journalière': {'avg_mape': 13.047624615803773, 'max_mape': 26.94172562377605}, 'Prévision hebdomadaire': {'avg_mape': 57.495242390131615, 'max_mape': 100.0}}"
64,14,l1_l2,0.0,0.1,"{'Prévision globale': {'avg_mape': 5.70701033083874, 'max_mape': 720.3287760416667}}","{'Prévision globale': {'avg_mape': 12.524307761839266, 'max_mape': 30.40350407733858}, 'Prévision journalière': {'avg_mape': 15.286386898838241, 'max_mape': 27.506049058935684}, 'Prévision hebdomadaire': {'avg_mape': 55.408814543270935, 'max_mape': 100.0}}"
64,14,l1_l2,0.0,0.01,"{'Prévision globale': {'avg_mape': 5.6641989196095475, 'max_mape': 640.3979831271702}}","{'Prévision globale': {'avg_mape': 11.617266414488459, 'max_mape': 26.400734601373422}, 'Prévision journalière': {'avg_mape': 13.908327767514482, 'max_mape': 31.276336935614495}, 'Prévision hebdomadaire': {'avg_mape': 59.1730645600818, 'max_mape': 100.0}}"
