filters,kernel,reg_type,l1_value,l2_value,mapes_train,mapes_test
16,7,l1_l2,0.001,0.1,"{'Prévision globale': {'avg_mape': 6.418650174227815, 'max_mape': 367.791985405816}}","{'Prévision globale': {'avg_mape': 11.915891165044023, 'max_mape': 36.317068032409345}, 'Prévision journalière': {'avg_mape': 14.578533146379257, 'max_mape': 39.189992913545254}, 'Prévision hebdomadaire': {'avg_mape': 59.99974606876159, 'max_mape': 100.0}}"
16,7,l1_l2,0.001,0.01,"{'Prévision globale': {'avg_mape': 6.212901096575716, 'max_mape': 790.6694878472222}}","{'Prévision globale': {'avg_mape': 12.795492616231527, 'max_mape': 40.96787911966229}, 'Prévision journalière': {'avg_mape': 16.188415380951216, 'max_mape': 26.965006161453736}, 'Prévision hebdomadaire': {'avg_mape': 57.69779130625218, 'max_mape': 100.0}}"
16,7,l1_l2,0.001,0.001,"{'Prévision globale': {'avg_mape': 7.878816633555321, 'max_mape': 873.0292426215278}}","{'Prévision globale': {'avg_mape': 12.863294068597614, 'max_mape': 29.629802058372217}, 'Prévision journalière': {'avg_mape': 14.188069071615962, 'max_mape': 31.749630650182226}, 'Prévision hebdomadaire': {'avg_mape': 57.307938303785136, 'max_mape': 100.0}}"
16,7,l1_l2,0.001,0.0001,"{'Prévision globale': {'avg_mape': 5.130100862818087, 'max_mape': 400.8047485351563}}","{'Prévision globale': {'avg_mape': 5.95695676449196, 'max_mape': 11.857169225837643}, 'Prévision journalière': {'avg_mape': 14.19177604052263, 'max_mape': 25.517399513649863}, 'Prévision hebdomadaire': {'avg_mape': 56.88012607298778, 'max_mape': 100.0}}"
16,7,l1_l2,0.0001,0.0,"{'Prévision globale': {'avg_mape': 7.12585147027355, 'max_mape': 884.8001437717014}}","{'Prévision globale': {'avg_mape': 9.378585913734069, 'max_mape': 28.091498083667787}, 'Prévision journalière': {'avg_mape': 14.172789802399791, 'max_mape': 39.2307769369643}, 'Prévision hebdomadaire': {'avg_mape': 58.58750220088639, 'max_mape': 100.0}}"
16,7,l1_l2,0.0001,0.1,"{'Prévision globale': {'avg_mape': 6.949434202803489, 'max_mape': 1068.171115451389}}","{'Prévision globale': {'avg_mape': 9.239072286539947, 'max_mape': 25.773686645785876}, 'Prévision journalière': {'avg_mape': 14.683188606671077, 'max_mape': 38.67010244919912}, 'Prévision hebdomadaire': {'avg_mape': 60.731265653808904, 'max_mape': 100.0}}"
16,7,l1_l2,0.0001,0.01,"{'Prévision globale': {'avg_mape': 6.2999472710491204, 'max_mape': 1400.9427897135417}}","{'Prévision globale': {'avg_mape': 9.508774187418897, 'max_mape': 27.84990672667938}, 'Prévision journalière': {'avg_mape': 11.99619289780466, 'max_mape': 19.13794912516029}, 'Prévision hebdomadaire': {'avg_mape': 55.37665909817322, 'max_mape': 100.0}}"
16,7,l1_l2,0.0001,0.001,"{'Prévision globale': {'avg_mape': 7.303723836745283, 'max_mape': 453.6191134982639}}","{'Prévision globale': {'avg_mape': 9.672008742229917, 'max_mape': 23.622181499713168}, 'Prévision journalière': {'avg_mape': 13.289645808046089, 'max_mape': 32.7837790274614}, 'Prévision hebdomadaire': {'avg_mape': 57.44988948895447, 'max_mape': 100.0}}"
16,7,l1_l2,0.0001,0.0001,"{'Prévision globale': {'avg_mape': 7.717598930309266, 'max_mape': 1143.8481987847222}}","{'Prévision globale': {'avg_mape': 6.289315281243249, 'max_mape': 15.322639912487759}, 'Prévision journalière': {'avg_mape': 10.819783914291461, 'max_mape': 39.052257858372144}, 'Prévision hebdomadaire': {'avg_mape': 56.314748424440474, 'max_mape': 100.0}}"
16,14,l1,0.0,,"{'Prévision globale': {'avg_mape': 7.2286626574839365, 'max_mape': 1050.4193115234375}}","{'Prévision globale': {'avg_mape': 9.939188695354911, 'max_mape': 24.70801639277579}, 'Prévision journalière': {'avg_mape': 10.913105690174305, 'max_mape': 27.430425936002568}, 'Prévision hebdomadaire': {'avg_mape': 56.18638281594964, 'max_mape': 100.0}}"
16,14,l1,0.1,,"{'Prévision globale': {'avg_mape': 9.414299715521537, 'max_mape': 823.2493760850695}}","{'Prévision globale': {'avg_mape': 8.194868311372726, 'max_mape': 13.093853080498752}, 'Prévision journalière': {'avg_mape': 12.062078305510758, 'max_mape': 20.100730210653303}, 'Prévision hebdomadaire': {'avg_mape': 57.417965568571105, 'max_mape': 100.0}}"
16,14,l1,0.01,,"{'Prévision globale': {'avg_mape': 6.72720431538802, 'max_mape': 1606.3540310329863}}","{'Prévision globale': {'avg_mape': 11.249035920276047, 'max_mape': 30.2946272951386}, 'Prévision journalière': {'avg_mape': 15.314303360055039, 'max_mape': 35.66881650537015}, 'Prévision hebdomadaire': {'avg_mape': 55.48722310288743, 'max_mape': 100.0}}"
16,14,l1,0.001,,"{'Prévision globale': {'avg_mape': 7.651079092826611, 'max_mape': 2018.266330295139}}","{'Prévision globale': {'avg_mape': 8.678427677029017, 'max_mape': 22.69145032543794}, 'Prévision journalière': {'avg_mape': 13.336605565586321, 'max_mape': 24.56775889693387}, 'Prévision hebdomadaire': {'avg_mape': 54.61450992672153, 'max_mape': 100.0}}"
16,14,l1,0.0001,,"{'Prévision globale': {'avg_mape': 9.255674725257514, 'max_mape': 982.8782145182291}}","{'Prévision globale': {'avg_mape': 7.889604695192441, 'max_mape': 21.789776322450013}, 'Prévision journalière': {'avg_mape': 15.323688042965907, 'max_mape': 31.130070218861132}, 'Prévision hebdomadaire': {'avg_mape': 55.09169816565795, 'max_mape': 100.0}}"
16,14,l2,,0.0,"{'Prévision globale': {'avg_mape': 7.755171249190322, 'max_mape': 1814.869656032986}}","{'Prévision globale': {'avg_mape': 13.113639531171193, 'max_mape': 27.29533561816745}, 'Prévision journalière': {'avg_mape': 12.55754996142061, 'max_mape': 27.556888142288514}, 'Prévision hebdomadaire': {'avg_mape': 55.23395609347044, 'max_mape': 100.0}}"
