filters,kernel,reg_type,l1_value,l2_value,mapes_train.Prévision globale.avg_mape,mapes_train.Prévision globale.max_mape,mapes_test.Prévision globale.avg_mape,mapes_test.Prévision globale.max_mape,mapes_test.Prévision journalière.avg_mape,mapes_test.Prévision journalière.max_mape,mapes_test.Prévision hebdomadaire.avg_mape,mapes_test.Prévision hebdomadaire.max_mape
16,7,l1_l2,0.1,0.01,9.120301436986646,936.3077799479166,8.866163406544796,21.50533488357378,15.244938776824771,23.662128488391712,55.78014699728332,100.0
16,7,l1_l2,0.1,0.001,7.947383186348504,827.6297336154514,13.403419503831515,30.92658369797337,12.813460658624203,23.29506568679557,56.27060383877301,100.0
16,7,l1_l2,0.1,0.0001,6.9045183982230105,116.0717699262831,9.140473681843645,15.810940347236283,10.321693211280747,25.809392821590066,55.09751176376825,100.0
16,7,l1_l2,0.01,0.0,7.579512306046196,454.13926866319446,9.930899797826065,20.69875375926703,8.43134653717383,32.15808383107242,55.37987578575927,100.0
16,7,l1_l2,0.01,0.1,8.511120114367948,915.3870985243057,13.782554709776287,30.529964791205703,14.075084107360004,20.294019327461697,54.8733470666816,100.0
16,7,l1_l2,0.01,0.01,7.588612192013336,612.7444118923611,7.838138275890979,18.975985231812796,12.8447783156544,30.221936795572653,57.00159897237434,100.0
16,7,l1_l2,0.01,0.001,8.921113638553047,2285.280219184028,9.53199297132362,19.243432867801513,12.34978393506214,32.829181377387464,60.37957139803334,100.0
16,7,l1_l2,0.01,0.0001,5.489630750228393,361.83831108940973,9.811360954318385,20.840714606556173,14.187765708393233,31.529536649203614,57.999222724971574,100.0
16,7,l1_l2,0.001,0.0,6.119653170735651,1150.578138563368,10.838960872424817,20.663993748166618,13.862977976777074,40.21074030252413,58.674280595091545,100.0
16,7,l1_l2,0.001,0.1,6.418650174227815,367.791985405816,11.915891165044023,36.317068032409345,14.578533146379257,39.189992913545254,59.99974606876159,100.0
16,7,l1_l2,0.001,0.01,6.212901096575716,790.6694878472222,12.795492616231527,40.96787911966229,16.188415380951216,26.965006161453736,57.69779130625218,100.0
16,7,l1_l2,0.001,0.001,7.878816633555321,873.0292426215278,12.863294068597614,29.629802058372217,14.188069071615962,31.749630650182226,57.307938303785136,100.0
16,7,l1_l2,0.001,0.0001,5.130100862818087,400.8047485351563,5.95695676449196,11.857169225837643,14.19177604052263,25.517399513649863,56.88012607298778,100.0
16,7,l1_l2,0.0001,0.0,7.12585147027355,884.8001437717014,9.378585913734069,28.091498083667787,14.172789802399791,39.2307769369643,58.58750220088639,100.0
16,7,l1_l2,0.0001,0.1,6.949434202803489,1068.171115451389,9.239072286539947,25.773686645785876,14.683188606671077,38.67010244919912,60.731265653808904,100.0
16,7,l1_l2,0.0001,0.01,6.2999472710491204,1400.9427897135417,9.508774187418897,27.84990672667938,11.99619289780466,19.13794912516029,55.37665909817322,100.0
16,7,l1_l2,0.0001,0.001,7.303723836745283,453.6191134982639,9.672008742229917,23.622181499713168,13.289645808046089,32.7837790274614,57.44988948895447,100.0
16,7,l1_l2,0.0001,0.0001,7.717598930309266,1143.8481987847222,6.289315281243249,15.322639912487759,10.819783914291461,39.052257858372144,56.314748424440474,100.0
16,14,l1,0.0,,7.2286626574839365,1050.4193115234375,9.939188695354911,24.70801639277579,10.913105690174305,27.430425936002568,56.18638281594964,100.0
16,14,l1,0.1,,9.414299715521537,823.2493760850695,8.194868311372726,13.093853080498752,12.062078305510758,20.100730210653303,57.417965568571105,100.0
16,14,l1,0.01,,6.72720431538802,1606.3540310329863,11.249035920276047,30.2946272951386,15.314303360055039,35.66881650537015,55.48722310288743,100.0
16,14,l1,0.001,,7.651079092826611,2018.266330295139,8.678427677029017,22.69145032543794,13.336605565586321,24.56775889693387,54.61450992672153,100.0
16,14,l1,0.0001,,9.255674725257514,982.8782145182291,7.889604695192441,21.789776322450013,15.323688042965907,31.130070218861132,55.09169816565795,100.0
16,14,l2,,0.0,7.755171249190322,1814.869656032986,13.113639531171193,27.29533561816745,12.55754996142061,27.556888142288514,55.23395609347044,100.0
