date,Livraison,Suivi colis,Expédition colis,Tarif colis,Envoi colis,Livraison express,Livraison domicile,Délai livraison,Retard livraison,Service de livraison,Point relais,colis
2017-07-19,71,100,19,100,30,65,57,49,56,0,77,100
2017-07-20,68,93,0,65,45,54,60,0,0,27,86,97
2017-07-21,72,74,0,51,53,59,60,49,34,33,75,82
2017-07-22,71,49,64,53,77,28,75,80,32,28,68,58
2017-07-23,84,23,26,49,64,37,53,23,0,37,42,37
2017-07-24,71,56,0,48,88,47,62,58,0,0,82,72
2017-07-25,67,60,0,10,73,35,51,26,19,34,72,75
2017-07-26,76,70,0,43,85,69,57,69,78,32,78,82
2017-07-27,69,70,0,84,45,56,30,87,66,35,87,78
2017-07-28,69,62,42,31,47,38,41,63,41,21,92,72
2017-07-29,74,46,0,34,73,27,53,31,37,21,80,62
2017-07-30,81,20,0,45,94,37,65,0,0,0,32,34
2017-07-31,71,53,0,43,72,35,55,69,0,19,78,74
2017-08-01,73,74,0,16,43,100,34,65,36,51,62,81
2017-08-02,77,65,0,51,97,47,50,85,47,0,78,85
2017-08-03,77,76,0,41,80,49,57,0,21,0,72,80
2017-08-04,76,62,0,37,32,46,59,27,0,0,59,75
2017-08-05,71,41,0,16,46,47,67,47,53,0,70,51
2017-08-06,79,15,29,36,62,52,77,48,0,0,39,32
2017-08-07,80,54,0,43,54,21,58,35,39,0,88,70
2017-08-08,85,72,18,23,72,44,67,0,65,32,88,91
2017-08-09,78,73,0,43,92,46,65,0,44,0,88,82
2017-08-10,82,73,100,70,87,47,66,70,0,0,84,88
2017-08-11,68,65,21,47,48,47,67,28,0,0,73,75
2017-08-12,70,45,0,46,55,79,72,0,39,0,74,54
2017-08-13,76,19,21,71,42,60,69,35,0,0,24,34
2017-08-14,71,47,0,50,72,59,48,21,0,0,74,61
2017-08-15,77,24,0,25,39,26,57,62,0,23,48,41
2017-08-16,64,58,0,43,62,64,52,76,52,38,78,74
2017-08-17,72,61,45,57,81,76,71,28,19,25,65,78
2017-08-18,75,49,0,58,62,45,48,61,55,0,85,70
2017-08-19,69,35,0,53,61,40,56,37,0,0,67,56
2017-08-20,73,17,0,20,70,60,66,42,0,0,44,31
2017-08-21,68,43,29,52,51,21,67,0,46,18,73,63
2017-08-22,62,52,0,61,71,20,50,33,30,36,88,74
2017-08-23,67,56,0,35,34,31,50,19,0,0,60,71
2017-08-24,65,49,0,42,43,60,54,0,39,83,73,70
2017-08-25,71,40,0,25,54,25,46,0,61,0,61,61
2017-08-26,65,28,0,28,53,83,56,19,29,0,53,50
2017-08-27,73,12,0,56,34,26,56,32,0,0,39,30
2017-08-28,62,30,0,48,50,0,43,42,46,0,63,53
2017-08-29,69,43,35,73,86,51,60,50,63,20,84,64
