date,t_mean_mean,t_min_mean,t_max_mean,u_mean_mean,pres_mean_mean,etat_sol_max_mean,rr3_sum_mean,t_mean_std,t_min_std,t_max_std,u_mean_std,pres_mean_std,etat_sol_max_std,rr3_sum_std
2020-02-17,9.475737822789188,7.000539125659623,12.040192532814947,81.77821428571428,100071.58202380953,1.5476190476190477,4.20952380952381,1.775244064519375,2.1312120654682083,2.071238840014241,5.368183312342532,2389.3841620007292,0.5927357389374333,5.244081891967666
2020-02-18,7.8424044894558556,4.75530103042153,11.137811580433992,76.28721428571428,100705.02590476192,1.2142857142857142,0.5809523809523809,2.2948282982322685,2.7163928121519243,2.2994569853149236,8.444033256441411,2418.8002489924284,0.7819835406450197,1.184089254883591
2020-02-19,8.228118775170142,5.5005391256596186,11.26876396138637,77.79930952380953,100507.93264285715,1.3571428571428572,1.8071428571428574,2.2382115942504943,2.622847965340844,2.7382629086830663,9.825274355973521,2418.9463352398343,0.6921662203943877,2.736598641641761
2020-02-20,8.65669020374157,4.179110554231051,13.468763961386369,75.9282857142857,100124.7282857143,0.9761904761904762,1.0214285714285714,1.5514483802965802,2.873780320944345,2.6665674197897453,8.670642070595257,2390.3414106231794,0.6043781419307537,1.5733350804139985
2020-02-21,7.690023537074903,3.6291105542310502,11.933049675672086,73.98483333333333,100778.0020952381,1.0476190476190477,0.09047619047619049,2.391770713697123,2.710427264763019,2.6957999562368724,7.964133177203129,2470.0150413315027,1.0348177865381212,0.2437607021385621
2020-02-22,8.57573782278919,3.1933962685167656,14.228287770910176,75.16638095238095,100845.38304761906,0.6666666666666666,0.07142857142857144,1.8094395469445623,3.387728676888368,2.3723401213980466,10.213652954775972,2420.416593356797,0.5702659485122011,0.2606611802150066
2020-02-23,10.578118775170141,6.6267296018501005,15.25924015186256,78.22292857142857,100724.54971428572,0.8571428571428571,0.34285714285714286,1.38957433864585,3.4062452635358964,3.383561209008292,15.100258428402126,2396.5740934078544,0.6466208061135635,1.0053861913355602
2020-02-24,10.713833060884426,6.910062935183432,15.447335389957797,78.839,100099.43066666668,1.0,1.130952380952381,1.6715223460128628,3.011380638790976,3.743338792324415,14.170095367770369,2370.2272754040705,0.7963330593811955,2.398829805697251
2020-02-25,8.970975918027284,5.9053010304215245,11.785430628053039,79.06519047619047,99055.68066666667,1.5,3.3238095238095235,1.8924850248360128,2.1538015555462877,2.6854413792141156,8.605944347320367,2380.311718133582,0.6343808196897538,3.0005535687488534
2020-02-26,6.644785441836808,4.6457772208977195,8.730668723291132,71.56221428571428,99020.35328571429,1.4523809523809523,2.95,3.071630087600239,2.9508797624189578,3.2101248293730933,12.001586483615128,2443.503548906128,0.8890219606160511,3.584672655735875
2020-02-27,7.159071156122523,3.7386343637548602,11.206859199481606,79.62173809523809,98856.514,1.6666666666666667,6.964285714285714,3.2350521716348415,2.973506707156393,3.872977219514796,10.394592370049383,2394.090143796225,0.754390940465824,5.976532212096742
2020-02-28,7.909071156122523,3.295777220897721,12.06876396138637,78.339,99512.43661904761,1.3571428571428572,0.8285714285714285,3.127266326867186,3.8664645826116497,2.6589952982222242,13.831746985935165,2338.991707289463,1.0551020889555982,1.4238877926272953
2020-02-29,9.701928298979665,6.921967697088193,12.966383009005417,76.51630952380953,98281.60754761905,1.4523809523809523,3.5690476190476192,1.7847137016849233,2.167942331735467,2.5578452014171167,6.0697775685050095,2338.7604879466394,0.5927357389374331,4.570717406210235
2020-03-01,8.690023537074902,6.055301030421523,11.702097294719707,78.76416666666667,98107.85328571429,1.619047619047619,4.838095238095239,2.298999124266891,2.205378756167256,2.8369158759620916,7.086464342250214,2327.7161178029924,0.5823577373595077,5.307103035070528
2020-03-02,7.692404489455855,5.383872458992956,9.63066872329113,81.89597619047619,97536.88247619047,2.0,10.166666666666666,2.502267314394725,2.4691076999191144,2.850427450810323,6.527497396990056,2430.8031995818146,0.5843487097907776,9.567696327127553
2020-03-03,6.199547346598713,3.6981581732786717,9.023525866148276,78.75395238095238,98588.29971428572,1.5714285714285714,3.761904761904762,2.5437172259090186,2.5489547113958086,2.924723730027224,10.88115312655469,2432.6903351591095,0.7696327012111163,5.971025665905616
2020-03-04,7.335261632312998,3.7338724589929546,10.887811580433992,83.19911904761905,99141.514,1.6904761904761905,2.4142857142857146,2.6052948058771497,2.771483396949403,2.712332461765271,12.794956167449168,2361.5179704831644,1.0238162763464755,3.2462038939743687
2020-03-05,9.251928298979665,6.731491506612004,11.756859199481609,86.69614285714286,97964.4009047619,2.0238095238095237,13.997619047619047,1.8698585610896417,1.7304067316361256,2.30411169721019,7.545112000563364,2365.725027095209,0.6803189796363368,9.458651687940236
2020-03-06,7.161452108503474,4.943396268516764,9.473525866148279,77.38661904761905,98537.16876190476,1.7619047619047619,4.476190476190476,2.5217396838376636,2.5127998068655404,2.9408397964176918,9.910998416276396,2467.371072820068,0.790477589800477,5.77825231083863
2020-03-07,7.782880679932046,4.19815817327867,11.340192532814942,75.15745238095238,99862.67471428572,1.0,0.5071428571428571,2.428232954713093,2.845712785984401,2.600537301692427,11.688132699874355,2456.0505409075845,0.6246950475544243,1.4380530295088017
2020-03-08,8.978118775170142,5.381491506611999,12.794954437576848,77.61280952380952,99720.29376190476,1.1666666666666667,1.8119047619047617,1.8927767312602655,3.2861970851573186,2.1305391775283335,11.754642468939235,2351.149189702615,0.7297399024332245,2.283258516708765
2020-03-09,8.401928298979666,6.052920078040574,11.17114491376733,77.55030952380952,99781.84138095238,1.5,2.9285714285714284,1.9230558324583638,2.128049237780549,2.1688204078848874,8.49521775798106,2436.527788765689,0.8039536450658298,3.5771146373746343
