,Trafic TG1,Prévision globale
2019-03-01,23170.0,24111.123046875
2019-03-04,27439.0,26264.564453125
2019-03-05,22347.0,26117.205078125
2019-03-06,24211.0,24688.6171875
2019-03-07,27431.0,27898.501953125
2019-03-08,30420.0,30008.75
2019-03-11,27077.0,29337.189453125
2019-03-12,23547.0,22389.841796875
2019-03-13,26718.0,25911.6484375
2019-03-14,31604.0,28008.93359375
2019-03-15,23144.0,25113.337890625
2019-03-18,29321.0,27249.296875
2019-03-19,23993.0,23701.169921875
2019-03-20,26222.0,25860.361328125
2019-03-21,25086.0,24645.7734375
2019-03-22,22535.0,25008.302734375
2019-03-25,24859.0,25378.8203125
2019-03-26,26280.0,26767.068359375
2019-03-27,25767.0,24772.669921875
2019-03-28,23079.0,25184.673828125
2019-03-29,22073.0,24392.173828125
2019-04-01,27037.0,28543.1875
2019-04-02,27661.0,26326.232421875
2019-04-03,26299.0,26945.26953125
2019-04-04,28071.0,28003.8046875
2019-04-05,24527.0,24347.953125
2019-04-08,29204.0,30735.099609375
2019-04-09,27042.0,26311.021484375
2019-04-10,30644.0,30344.291015625
2019-04-11,29431.0,30672.017578125
2019-04-12,24030.0,26669.96484375
2019-04-15,25302.0,26444.791015625
2019-04-16,26589.0,28281.3984375
2019-04-17,29629.0,30251.03125
2019-04-18,29959.0,31492.427734375
2019-04-19,32149.0,31809.251953125
2019-04-22,0.0,22169.185546875
2019-04-23,28450.0,28406.072265625
2019-04-24,24984.0,26760.482421875
2019-04-25,19597.0,23513.1328125
2019-04-26,22597.0,26471.748046875
2019-04-29,23858.0,27461.90234375
2019-04-30,5318.0,6694.5224609375
2019-05-01,21454.0,21892.74609375
2019-05-02,23551.0,25485.962890625
2019-05-03,31701.0,26176.865234375
2019-05-06,32754.0,27631.984375
2019-05-07,7672.0,8372.861328125
2019-05-08,18635.0,18860.52734375
2019-05-09,23202.0,26160.638671875
2019-05-10,30216.0,28160.107421875
2019-05-13,31767.0,30278.931640625
2019-05-14,26690.0,27496.16796875
2019-05-15,31982.0,31295.87109375
2019-05-16,23077.0,25815.291015625
2019-05-17,26741.0,28060.087890625
2019-05-20,30522.0,29147.345703125
2019-05-21,26700.0,26400.42578125
2019-05-22,27277.0,30460.8828125
2019-05-23,31800.0,34651.484375
2019-05-24,22333.0,27561.55859375
2019-05-27,30275.0,31775.8984375
2019-05-28,27026.0,28115.3125
2019-05-29,11998.0,13845.0986328125
2019-05-30,13169.0,18494.46484375
2019-05-31,26836.0,29043.458984375
2019-06-03,28838.0,29233.861328125
2019-06-04,27278.0,26045.166015625
2019-06-05,29719.0,30239.6953125
2019-06-06,28187.0,27423.744140625
2019-06-07,21925.0,25839.826171875
2019-06-10,0.0,32160.025390625
2019-06-11,32595.0,34117.35546875
2019-06-12,21503.0,27320.79296875
2019-06-13,30233.0,33716.734375
2019-06-14,29044.0,28180.951171875
2019-06-17,28917.0,31233.2421875
2019-06-18,31993.0,35181.81640625
2019-06-19,28763.0,30493.123046875
2019-06-20,27993.0,28798.59375
2019-06-21,24077.0,23013.501953125
2019-06-24,24330.0,24285.296875
2019-06-25,28604.0,28657.67578125
2019-06-26,21981.0,23670.212890625
2019-06-27,26944.0,27738.765625
2019-06-28,25905.0,26021.919921875
2019-07-01,30371.0,30311.8203125
2019-07-02,34662.0,35954.4609375
2019-07-03,31638.0,34773.61328125
2019-07-04,33982.0,35089.15625
2019-07-05,26417.0,29235.85546875
2019-07-08,29441.0,34188.53515625
2019-07-09,30373.0,32718.232421875
2019-07-10,26770.0,30158.33984375
2019-07-11,23417.0,27939.16015625
2019-07-12,21234.0,26454.451171875
2019-07-15,24935.0,27472.546875
2019-07-16,27192.0,29865.63671875
2019-07-17,25368.0,25679.017578125
2019-07-18,20088.0,22029.669921875
2019-07-19,20955.0,25629.607421875
2019-07-22,24958.0,27381.015625
2019-07-23,24203.0,23499.08203125
2019-07-24,20390.0,23459.958984375
2019-07-25,19879.0,25740.677734375
2019-07-26,20113.0,21807.27734375
2019-07-29,25519.0,28657.501953125
2019-07-30,26409.0,29641.8203125
2019-07-31,20709.0,23583.94921875
2019-08-01,19467.0,20677.685546875
2019-08-02,20593.0,23292.712890625
2019-08-05,23165.0,26419.85546875
2019-08-06,27262.0,25751.55859375
2019-08-07,28488.0,24916.40234375
2019-08-08,23427.0,25399.83984375
2019-08-09,18324.0,19927.18359375
2019-08-12,22626.0,23134.984375
2019-08-13,22038.0,24746.9140625
2019-08-14,8581.0,11847.13671875
2019-08-15,9541.0,12331.0107421875
2019-08-16,14803.0,17284.080078125
2019-08-19,24333.0,23673.53515625
2019-08-20,20305.0,23609.958984375
2019-08-21,17905.0,19111.958984375
2019-08-22,18843.0,20944.232421875
2019-08-23,15567.0,17123.978515625
2019-08-26,24660.0,28152.318359375
2019-08-27,18446.0,21503.259765625
2019-08-28,18328.0,21359.0703125
2019-08-29,19733.0,22943.93359375
2019-08-30,18165.0,21445.908203125
2019-09-02,25003.0,25338.90234375
2019-09-03,24539.0,23431.7890625
2019-09-04,25062.0,26880.37109375
2019-09-05,21233.0,25084.203125
2019-09-06,21815.0,23138.345703125
2019-09-09,27287.0,29943.142578125
2019-09-10,23931.0,24328.787109375
2019-09-11,24968.0,27144.376953125
2019-09-12,23765.0,25220.421875
2019-09-13,22094.0,23330.212890625
2019-09-16,27465.0,27446.318359375
2019-09-17,27615.0,30120.662109375
2019-09-18,26174.0,27115.646484375
2019-09-19,26144.0,29370.95703125
2019-09-20,23326.0,24791.220703125
2019-09-23,25106.0,26910.767578125
2019-09-24,20027.0,21557.94921875
2019-09-25,29603.0,27870.787109375
2019-09-26,30845.0,32214.884765625
2019-09-27,23120.0,29594.79296875
2019-09-30,26915.0,29241.818359375
2019-10-01,24884.0,26614.34375
2019-10-02,30417.0,31581.083984375
2019-10-03,20250.0,24211.43359375
2019-10-04,25420.0,27040.3203125
2019-10-07,25404.0,28463.82421875
2019-10-08,24766.0,26105.390625
2019-10-09,25855.0,27207.939453125
2019-10-10,30843.0,31605.265625
2019-10-11,23158.0,26532.87109375
2019-10-14,28500.0,30992.36328125
2019-10-15,24451.0,25595.6875
2019-10-16,25637.0,27845.21875
2019-10-17,24726.0,24598.330078125
2019-10-18,21297.0,23077.86328125
2019-10-21,26232.0,29721.384765625
2019-10-22,22931.0,26086.904296875
2019-10-23,24767.0,26985.68359375
2019-10-24,21941.0,24931.947265625
2019-10-25,21434.0,22842.546875
2019-10-28,26130.0,27919.791015625
