,Trafic TG1,Prévision globale
2019-02-13,32495.0,31060.96484375
2019-02-14,32866.0,30951.37890625
2019-02-15,27801.0,29060.41015625
2019-02-18,29218.0,29200.103515625
2019-02-19,29131.0,28378.6015625
2019-02-20,27162.0,26756.44921875
2019-02-21,22639.0,22491.013671875
2019-02-22,23631.0,23413.943359375
2019-02-25,27439.0,27030.365234375
2019-02-26,24954.0,25476.7421875
2019-02-27,23569.0,24002.2421875
2019-02-28,24949.0,24480.529296875
2019-03-01,23170.0,23118.18359375
2019-03-04,27439.0,26990.19921875
2019-03-05,22347.0,21900.5703125
2019-03-06,24211.0,25129.400390625
2019-03-07,27431.0,26485.583984375
2019-03-08,30420.0,30121.453125
2019-03-11,27077.0,25604.0
2019-03-12,23547.0,24160.986328125
2019-03-13,26718.0,27700.623046875
2019-03-14,31604.0,27997.83984375
2019-03-15,23144.0,23250.76171875
2019-03-18,29321.0,28287.234375
2019-03-19,23993.0,23162.716796875
2019-03-20,26222.0,25666.220703125
2019-03-21,25086.0,24633.759765625
2019-03-22,22535.0,22456.0078125
2019-03-25,24859.0,24174.716796875
2019-03-26,26280.0,25728.1796875
2019-03-27,25767.0,25092.087890625
2019-03-28,23079.0,22548.83203125
2019-03-29,22073.0,22774.30078125
2019-04-01,27037.0,26573.15234375
2019-04-02,27661.0,26809.072265625
2019-04-03,26299.0,26846.21875
2019-04-04,28071.0,27698.119140625
2019-04-05,24527.0,25588.94140625
2019-04-08,29204.0,27707.02734375
2019-04-09,27042.0,25767.7890625
2019-04-10,30644.0,29085.326171875
2019-04-11,29431.0,28048.892578125
2019-04-12,24030.0,23863.611328125
2019-04-15,25302.0,23999.783203125
2019-04-16,26589.0,25702.1796875
2019-04-17,29629.0,27905.650390625
2019-04-18,29959.0,27779.375
2019-04-19,32149.0,29311.75
2019-04-22,0.0,19573.646484375
2019-04-23,28450.0,26712.216796875
2019-04-24,24984.0,24394.03125
2019-04-25,19597.0,20878.546875
2019-04-26,22597.0,21664.29296875
2019-04-29,23858.0,24105.984375
2019-04-30,5318.0,9312.0615234375
2019-05-01,21454.0,20348.048828125
2019-05-02,23551.0,23660.44921875
2019-05-03,31701.0,24969.568359375
2019-05-06,32754.0,24408.6171875
2019-05-07,7672.0,12549.078125
2019-05-08,18635.0,20728.53125
2019-05-09,23202.0,22126.517578125
2019-05-10,30216.0,26484.185546875
2019-05-13,31767.0,29846.318359375
2019-05-14,26690.0,26565.41015625
2019-05-15,31982.0,31860.548828125
2019-05-16,23077.0,24446.046875
2019-05-17,26741.0,26581.154296875
2019-05-20,30522.0,27513.669921875
2019-05-21,26700.0,24264.509765625
2019-05-22,27277.0,27890.802734375
2019-05-23,31800.0,30132.3828125
2019-05-24,22333.0,21959.517578125
2019-05-27,30275.0,26997.0078125
2019-05-28,27026.0,24299.38671875
2019-05-29,11998.0,14855.4892578125
2019-05-30,13169.0,13987.7568359375
2019-05-31,26836.0,23149.064453125
2019-06-03,28838.0,24314.97265625
2019-06-04,27278.0,26726.546875
2019-06-05,29719.0,28680.2421875
2019-06-06,28187.0,28289.671875
2019-06-07,21925.0,23873.59765625
2019-06-10,0.0,25490.7734375
2019-06-11,32595.0,30443.25
2019-06-12,21503.0,22814.330078125
2019-06-13,30233.0,29333.935546875
2019-06-14,29044.0,28921.18359375
2019-06-17,28917.0,29152.419921875
2019-06-18,31993.0,30862.46484375
2019-06-19,28763.0,28980.828125
2019-06-20,27993.0,29394.298828125
2019-06-21,24077.0,24083.400390625
2019-06-24,24330.0,24195.494140625
2019-06-25,28604.0,28891.447265625
2019-06-26,21981.0,23663.0078125
2019-06-27,26944.0,27375.947265625
2019-06-28,25905.0,26402.267578125
2019-07-01,30371.0,31355.205078125
2019-07-02,34662.0,33681.79296875
2019-07-03,31638.0,31688.212890625
2019-07-04,33982.0,32571.13671875
2019-07-05,26417.0,25858.681640625
2019-07-08,29441.0,29553.43359375
2019-07-09,30373.0,31443.958984375
2019-07-10,26770.0,28420.283203125
2019-07-11,23417.0,25748.43359375
2019-07-12,21234.0,22637.224609375
2019-07-15,24935.0,26677.37109375
2019-07-16,27192.0,27921.923828125
2019-07-17,25368.0,26230.36328125
2019-07-18,20088.0,21631.896484375
2019-07-19,20955.0,21904.48828125
2019-07-22,24958.0,23815.400390625
2019-07-23,24203.0,24532.05859375
2019-07-24,20390.0,20739.484375
2019-07-25,19879.0,19523.591796875
2019-07-26,20113.0,21943.95703125
2019-07-29,25519.0,26345.767578125
2019-07-30,26409.0,26100.69921875
2019-07-31,20709.0,21772.94921875
2019-08-01,19467.0,19423.294921875
2019-08-02,20593.0,20041.208984375
2019-08-05,23165.0,21542.70703125
2019-08-06,27262.0,25527.56640625
2019-08-07,28488.0,25744.1875
2019-08-08,23427.0,22655.6328125
2019-08-09,18324.0,17397.953125
2019-08-12,22626.0,24164.47265625
2019-08-13,22038.0,23297.955078125
2019-08-14,8581.0,9862.57421875
2019-08-15,9541.0,8979.0927734375
2019-08-16,14803.0,16465.03125
2019-08-19,24333.0,24338.287109375
2019-08-20,20305.0,21116.32421875
2019-08-21,17905.0,17637.005859375
2019-08-22,18843.0,20409.22265625
2019-08-23,15567.0,16672.8046875
2019-08-26,24660.0,26338.58984375
2019-08-27,18446.0,20491.771484375
2019-08-28,18328.0,18046.892578125
2019-08-29,19733.0,21624.5546875
2019-08-30,18165.0,18678.703125
2019-09-02,25003.0,26955.6796875
2019-09-03,24539.0,23897.09765625
2019-09-04,25062.0,25459.423828125
2019-09-05,21233.0,22148.51953125
2019-09-06,21815.0,23779.10546875
2019-09-09,27287.0,26589.73828125
2019-09-10,23931.0,24569.119140625
2019-09-11,24968.0,25071.736328125
2019-09-12,23765.0,24855.048828125
2019-09-13,22094.0,22720.94921875
2019-09-16,27465.0,28324.841796875
2019-09-17,27615.0,27394.19140625
2019-09-18,26174.0,26207.904296875
2019-09-19,26144.0,26067.083984375
2019-09-20,23326.0,23810.4453125
2019-09-23,25106.0,24595.521484375
2019-09-24,20027.0,20542.5078125
2019-09-25,29603.0,27194.4609375
2019-09-26,30845.0,28332.638671875
2019-09-27,23120.0,23795.138671875
2019-09-30,26915.0,27286.814453125
2019-10-01,24884.0,23946.21484375
2019-10-02,30417.0,28402.630859375
2019-10-03,20250.0,22992.056640625
2019-10-04,25420.0,25005.259765625
2019-10-07,25404.0,24707.9375
2019-10-08,24766.0,25043.7265625
2019-10-09,25855.0,26675.439453125
2019-10-10,30843.0,31415.337890625
2019-10-11,23158.0,21435.9765625
2019-10-14,28500.0,28869.658203125
2019-10-15,24451.0,25437.642578125
2019-10-16,25637.0,26016.701171875
2019-10-17,24726.0,25708.89453125
2019-10-18,21297.0,21332.744140625
2019-10-21,26232.0,26214.34765625
2019-10-22,22931.0,22907.615234375
2019-10-23,24767.0,24575.142578125
2019-10-24,21941.0,23640.748046875
2019-10-25,21434.0,20999.701171875
2019-10-28,26130.0,25362.626953125
2019-10-29,24277.0,23796.626953125
2019-10-30,25271.0,24938.123046875
2019-10-31,11672.0,14546.0
2019-11-01,12036.0,14136.6455078125
2019-11-04,28989.0,28869.2578125
2019-11-05,26772.0,26793.1015625
2019-11-06,31016.0,31217.419921875
2019-11-07,37001.0,36009.859375
2019-11-08,27426.0,28371.427734375
2019-11-11,0.0,32214.337890625
2019-11-12,42586.0,38757.078125
2019-11-13,29168.0,30077.876953125
2019-11-14,26569.0,26842.22265625
2019-11-15,34484.0,33900.55078125
2019-11-18,30138.0,30509.689453125
2019-11-19,30222.0,30526.087890625
2019-11-20,29024.0,28391.701171875
2019-11-21,23030.0,24226.720703125
2019-11-22,20778.0,22070.84765625
2019-11-25,29923.0,28851.17578125
2019-11-26,32340.0,30940.5234375
2019-11-27,24576.0,25589.9609375
2019-11-28,28362.0,27429.37890625
2019-11-29,28771.999999999996,28860.51171875
2019-12-02,41596.0,38322.57421875
2019-12-03,35360.0,32746.04296875
2019-12-04,38138.0,36751.73046875
2019-12-05,32895.0,32636.134765625
2019-12-06,38151.0,36596.75390625
2019-12-09,36852.0,36741.65234375
2019-12-10,35333.0,34173.18359375
2019-12-11,32775.0,31870.6328125
2019-12-12,28747.0,29454.310546875
2019-12-13,31390.0,29837.818359375
2019-12-16,36992.0,35035.390625
2019-12-17,30063.0,29904.666015625
2019-12-18,30467.0,30161.783203125
2019-12-19,22997.0,22509.44921875
2019-12-20,22102.0,23167.58984375
2019-12-23,30023.0,30923.748046875
2019-12-24,5971.0,8201.009765625
2019-12-25,11531.0,13584.892578125
2019-12-26,26364.0,26304.125
2019-12-27,24179.0,24168.6015625
2019-12-30,22153.0,22708.67578125
2019-12-31,19362.0,21469.677734375
2020-01-01,18031.0,19157.599609375
2020-01-02,21718.0,21363.265625
2020-01-03,21385.0,22161.16015625
2020-01-06,35489.0,31710.224609375
2020-01-07,24174.0,23409.849609375
2020-01-08,32659.0,30366.673828125
2020-01-09,26861.0,26154.884765625
2020-01-10,27839.0,26721.677734375
2020-01-13,35582.0,31941.994140625
2020-01-14,28171.0,27351.546875
2020-01-15,21646.0,21294.775390625
2020-01-16,28495.0,27661.091796875
2020-01-17,25004.0,26279.169921875
2020-01-20,28503.0,27137.779296875
2020-01-21,24384.0,23063.55078125
2020-01-22,27778.0,26613.626953125
2020-01-23,23014.0,20205.8359375
2020-01-24,22183.0,22383.609375
2020-01-27,26219.0,25932.224609375
2020-01-28,19555.0,18444.744140625
2020-01-29,23274.0,22108.267578125
2020-01-30,20366.0,20681.673828125
2020-01-31,25708.0,24400.9921875
2020-02-03,27166.0,27746.765625
2020-02-04,25542.0,24715.419921875
2020-02-05,27258.0,26674.29296875
2020-02-06,27566.0,26524.13671875
2020-02-07,25065.0,26620.859375
2020-02-10,29931.0,29720.587890625
2020-02-11,26270.0,25944.322265625
2020-02-12,21423.0,22340.10546875
2020-02-13,19572.0,20612.73046875
2020-02-14,20060.0,19910.54296875
2020-02-17,22150.0,20774.298828125
2020-02-18,23248.0,23238.8046875
2020-02-19,19435.0,20222.912109375
2020-02-20,18661.0,18554.513671875
2020-02-21,17456.0,18268.44140625
2020-02-24,22251.0,21269.65234375
2020-02-25,19819.0,21065.92578125
2020-02-26,18831.0,19141.52734375
2020-02-27,17832.0,20620.189453125
2020-02-28,19179.0,20529.873046875
2020-03-02,28444.0,28756.408203125
2020-03-03,31191.0,29751.755859375
2020-03-04,27320.0,27111.998046875
2020-03-05,23768.0,25265.638671875
2020-03-06,21862.0,21803.736328125
2020-03-09,25496.0,25650.14453125
2020-03-10,26049.0,24828.482421875
2020-03-11,24216.0,24376.05078125
2020-03-12,21315.0,21188.048828125
2020-03-13,15224.0,15806.5546875
2020-03-16,19662.0,19952.7578125
2020-03-17,15524.0,15389.1494140625
2020-03-18,15808.0,17599.361328125
2020-03-19,18512.0,17817.27734375
2020-03-20,12368.0,14401.5634765625
2020-03-23,11073.0,13753.6533203125
2020-03-24,26282.0,24905.029296875
2020-03-25,0.0,17999.9140625
2020-03-26,18935.0,18420.529296875
2020-03-27,31216.0,27457.830078125
2020-03-30,0.0,24318.068359375
2020-03-31,0.0,24436.650390625
2020-04-01,24000.0,24283.1328125
2020-04-02,22907.0,21818.515625
2020-04-03,27780.0,24910.451171875
2020-04-06,0.0,25444.564453125
2020-04-07,0.0,29271.90234375
2020-04-08,22443.0,22680.521484375
2020-04-09,29894.0,29353.6171875
2020-04-10,32055.0,28281.6328125
2020-04-13,0.0,30224.462890625
2020-04-14,19275.0,19942.587890625
2020-04-15,21127.0,20047.0234375
2020-04-16,26689.0,25605.3515625
2020-04-17,28763.0,27340.6796875
2020-04-20,0.0,25390.076171875
2020-04-21,20659.0,19908.1015625
2020-04-22,24599.0,22995.14453125
2020-04-23,29638.0,26719.26953125
2020-04-24,31334.0,21374.18359375
2020-04-27,27700.0,24685.654296875
2020-04-28,15834.0,16834.9375
2020-04-29,20403.0,17100.623046875
2020-04-30,28884.0,20197.66015625
2020-05-01,0.0,24891.958984375
2020-05-04,19436.0,21101.876953125
2020-05-05,30232.0,22960.29296875
2020-05-06,24151.0,20308.708984375
2020-05-07,28248.0,23198.029296875
2020-05-08,0.0,20950.361328125
2020-05-11,13711.0,15444.2421875
2020-05-12,21945.0,22349.81640625
2020-05-13,16737.0,17153.4765625
2020-05-14,23622.0,23356.373046875
2020-05-15,24348.0,25090.837890625
2020-05-18,14085.0,16068.673828125
2020-05-19,16587.0,16186.677734375
2020-05-20,1034.0,2568.240478515625
2020-05-21,15400.0,16298.0546875
2020-05-22,17437.0,18335.041015625
2020-05-25,1810.0,5884.8173828125
2020-05-26,22106.0,21621.91796875
2020-05-27,19287.0,18180.728515625
2020-05-28,18364.0,20511.029296875
2020-05-29,32760.0,31085.3515625
2020-06-01,7612.0,10607.23828125
2020-06-02,13045.0,15464.1875
2020-06-03,22934.0,23197.095703125
2020-06-04,26425.0,25272.525390625
2020-06-05,25053.0,24958.521484375
2020-06-08,6379.0,10830.11328125
2020-06-09,22419.0,22471.966796875
2020-06-10,29212.0,28434.7109375
2020-06-11,27934.0,28986.802734375
2020-06-12,27108.0,24502.681640625
2020-06-15,23230.0,24145.43359375
2020-06-16,28302.0,27380.927734375
2020-06-17,26398.0,26426.203125
2020-06-18,25950.0,24434.400390625
2020-06-19,21825.0,23751.669921875
2020-06-22,27206.0,26787.9296875
2020-06-23,27273.000000000004,25366.619140625
2020-06-24,23914.0,23120.583984375
2020-06-25,22530.0,21731.19921875
2020-06-26,23798.0,25181.6328125
2020-06-29,29943.0,28649.986328125
2020-06-30,26420.0,26413.029296875
2020-07-01,27712.0,26946.25
2020-07-02,23087.0,22468.728515625
2020-07-03,27878.0,27087.443359375
2020-07-06,24053.0,23467.189453125
2020-07-07,25106.0,24227.3828125
2020-07-08,26453.0,26764.67578125
2020-07-09,27423.0,26569.748046875
2020-07-10,26709.0,26858.87109375
2020-07-13,360.0,6536.7880859375
2020-07-14,25010.0,26029.63671875
2020-07-15,35449.0,34511.62109375
2020-07-16,37010.0,35271.25390625
2020-07-17,28101.0,28965.93359375
2020-07-20,30783.0,31237.634765625
2020-07-21,26907.0,26455.212890625
2020-07-22,25364.0,24673.5546875
2020-07-23,20636.0,19852.208984375
2020-07-24,23801.0,21797.8359375
2020-07-27,26749.0,25577.96875
2020-07-28,27586.0,25838.142578125
2020-07-29,23558.0,22332.673828125
2020-07-30,22641.0,22544.248046875
2020-07-31,20566.0,20786.884765625
2020-08-03,28743.0,26950.4921875
2020-08-04,33633.0,30906.998046875
2020-08-05,38839.0,33847.6328125
2020-08-06,27063.0,27057.208984375
2020-08-07,36350.0,33476.98828125
2020-08-10,29481.0,27628.119140625
2020-08-11,31561.0,28650.39453125
2020-08-12,35935.0,32488.802734375
2020-08-13,22549.0,20732.44921875
2020-08-14,23236.0,21720.384765625
2020-08-17,22504.0,23276.412109375
2020-08-18,23032.0,22873.337890625
2020-08-19,22368.0,19770.412109375
2020-08-20,18276.0,17004.78515625
2020-08-21,19120.0,19029.919921875
2020-08-24,21840.0,22073.169921875
2020-08-25,19920.0,19832.232421875
2020-08-26,20275.0,23016.751953125
2020-08-27,15364.0,14118.9931640625
2020-08-28,18425.0,18720.294921875
2020-08-31,24099.0,23035.595703125
2020-09-01,25126.0,23096.994140625
2020-09-02,27779.0,26417.8671875
2020-09-03,20993.0,21733.39453125
2020-09-04,26288.0,25756.87890625
2020-09-07,30771.0,28786.283203125
2020-09-08,25282.0,24900.064453125
2020-09-09,26037.0,24526.888671875
2020-09-10,27507.0,27595.306640625
2020-09-11,27654.0,27357.919921875
2020-09-14,26205.0,24680.74609375
2020-09-15,32500.0,32158.60546875
2020-09-16,26010.0,24828.12890625
2020-09-17,22701.0,21854.212890625
2020-09-18,21075.0,21264.447265625
2020-09-21,24937.0,24930.71875
2020-09-22,29295.0,28912.9296875
2020-09-23,21983.0,21121.103515625
2020-09-24,21162.0,21360.7109375
2020-09-25,22746.0,22505.5390625
2020-09-28,27571.0,26416.0390625
2020-09-29,29296.0,27885.029296875
2020-09-30,27328.0,26233.0625
2020-10-01,34719.0,30998.904296875
2020-10-02,29110.0,27007.220703125
2020-10-05,30708.0,29880.005859375
2020-10-06,31684.0,30508.642578125
2020-10-07,27997.0,27967.70703125
2020-10-08,27419.0,26610.740234375
2020-10-09,21371.0,21269.16796875
2020-10-12,28464.0,29649.220703125
2020-10-13,33499.0,30980.970703125
2020-10-14,23599.0,23700.517578125
2020-10-15,21389.0,22382.55859375
2020-10-16,23542.0,24688.349609375
2020-10-19,25512.0,25907.24609375
2020-10-20,26565.0,25295.841796875
2020-10-21,25285.0,25068.939453125
2020-10-22,21886.0,22557.748046875
2020-10-23,24382.0,23703.419921875
2020-10-26,30662.0,28520.86328125
2020-10-27,27132.0,26744.0625
2020-10-28,25248.0,24431.318359375
